experiment_id,run_id,case_id,trial,call_ordinal,turn,tool_name,call_id,arguments_json,descriptor_version,ok,error_code,latency_ms,observation_chars_local,observation_size_local_estimated_chars_div_4,observation_size_local_status,observation_chars_recomputed,recomputed_chars_match_local,observation_offline_lexical_units_recomputed,recomputed_measurement_status,provider_tokenization_status,reference_segmentation_method,observation_payload_saved
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6015"",""specialty"":""CARD""}",v2,True,,1.007,398,100,ESTIMATED,398,True,152,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,3,2,lookup_patient,3,"{""patient_id"":""P-6015""}",v2,True,,0.654,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,4,3,get_clinic_slots,4,"{""band"":""routine"",""specialty"":""CARD"",""window_end"":""2026-11-04"",""window_start"":""2026-09-09""}",v2,True,,0.429,229,58,ESTIMATED,229,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,1,1,get_referral,1,"{""referral_id"":""REF-6016""}",v2,True,,0.817,297,75,ESTIMATED,297,True,108,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6016"",""specialty"":""CARD""}",v2,True,,1.02,398,100,ESTIMATED,398,True,151,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,3,2,lookup_patient,3,"{""patient_id"":""P-6016""}",v2,True,,0.646,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,4,3,get_clinic_slots,4,"{""band"":""routine"",""specialty"":""CARD"",""window_end"":""2026-11-04"",""window_start"":""2026-09-09""}",v2,True,,0.408,229,58,ESTIMATED,229,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,1,1,get_referral,1,"{""referral_id"":""REF-6017""}",v2,True,,0.848,293,74,ESTIMATED,293,True,107,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6017"",""specialty"":""CARD""}",v2,True,,1.214,398,100,ESTIMATED,398,True,155,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,3,2,lookup_patient,3,"{""patient_id"":""P-6017""}",v2,True,,0.753,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,4,3,get_clinic_slots,4,"{""band"":""routine"",""specialty"":""CARD"",""window_end"":""2026-11-04"",""window_start"":""2026-09-09""}",v2,True,,0.532,229,58,ESTIMATED,229,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,1,1,get_referral,1,"{""referral_id"":""REF-6018""}",v2,True,,1.219,284,71,ESTIMATED,284,True,104,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6018"",""specialty"":""CARD""}",v2,True,,1.178,417,105,ESTIMATED,417,True,156,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,3,2,lookup_patient,3,"{""patient_id"":""P-6018""}",v2,True,,0.638,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""CARD"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.546,226,57,ESTIMATED,226,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,1,1,get_referral,1,"{""referral_id"":""REF-6019""}",v2,True,,0.851,297,75,ESTIMATED,297,True,108,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6019"",""specialty"":""CARD""}",v2,True,,0.993,424,106,ESTIMATED,424,True,158,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,3,2,lookup_patient,3,"{""patient_id"":""P-6019""}",v2,True,,0.658,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""CARD"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.624,226,57,ESTIMATED,226,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,1,1,get_referral,1,"{""referral_id"":""REF-6020""}",v2,True,,0.802,302,76,ESTIMATED,302,True,108,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6020"",""specialty"":""CARD""}",v2,True,,0.571,412,103,ESTIMATED,412,True,158,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,3,2,lookup_patient,3,"{""patient_id"":""P-6020""}",v2,True,,0.369,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,4,3,get_clinic_slots,4,"{""band"":""soon"",""specialty"":""CARD"",""window_end"":""2026-10-07"",""window_start"":""2026-09-09""}",v2,True,,0.422,226,57,ESTIMATED,226,True,113,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,1,1,get_referral,1,"{""referral_id"":""REF-6022""}",v2,True,,0.997,315,79,ESTIMATED,315,True,111,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6022"",""specialty"":""CARD""}",v2,True,,1.015,426,107,ESTIMATED,426,True,160,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,3,2,lookup_patient,3,"{""patient_id"":""P-6022""}",v2,True,,0.641,190,48,ESTIMATED,190,True,84,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,4,3,get_clinic_slots,4,"{""band"":""urgent"",""specialty"":""CARD"",""window_end"":""2026-09-23"",""window_start"":""2026-09-09""}",v2,True,,0.444,342,86,ESTIMATED,342,True,169,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,95189482-9616-453d-9b30-d3c411d99ad0,REF-6028,1,1,1,get_referral,1,"{""referral_id"":""REF-6028""}",v2,True,,0.83,277,70,ESTIMATED,277,True,101,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
openai_gpt4o_mini_v2,95189482-9616-453d-9b30-d3c411d99ad0,REF-6028,1,2,2,check_referral_criteria,2,"{""referral_id"":""REF-6028"",""specialty"":""ORT""}",v2,True,,1.239,373,94,ESTIMATED,373,True,137,RECOMPUTED_FROM_SAVED_PAYLOAD,NOT_PROVIDER_TOKENIZATION,"Unicode regex [\w]+|[^\w\s] on json.dumps(sort_keys=True,separators=(',',':'),ensure_ascii=True)",True
